timestamp, memory.used [MiB]
2025/04/21 08:40:24.974, 40634 MiB
2025/04/21 08:40:25.474, 40606 MiB
2025/04/21 08:40:25.974, 29776 MiB
2025/04/21 08:40:27.582, 29418 MiB
2025/04/21 08:40:28.083, 29418 MiB
2025/04/21 08:40:28.583, 29418 MiB
2025/04/21 08:40:29.083, 29418 MiB
2025/04/21 08:40:29.583, 29418 MiB
2025/04/21 08:40:30.083, 29418 MiB
2025/04/21 08:40:30.583, 29418 MiB
2025/04/21 08:40:31.083, 29418 MiB
2025/04/21 08:40:31.583, 29418 MiB
2025/04/21 08:40:32.084, 29418 MiB
2025/04/21 08:40:32.584, 29418 MiB
2025/04/21 08:40:33.084, 29418 MiB
2025/04/21 08:40:33.584, 29418 MiB
2025/04/21 08:40:34.084, 29418 MiB
2025/04/21 08:40:34.585, 29418 MiB
2025/04/21 08:40:35.085, 29418 MiB
2025/04/21 08:40:35.585, 29418 MiB
2025/04/21 08:40:36.085, 29418 MiB
2025/04/21 08:40:36.586, 29418 MiB
2025/04/21 08:40:37.086, 29418 MiB
2025/04/21 08:40:37.586, 29418 MiB
2025/04/21 08:40:38.086, 29418 MiB
2025/04/21 08:40:38.586, 29418 MiB
2025/04/21 08:40:39.086, 29418 MiB
2025/04/21 08:40:39.586, 29418 MiB
2025/04/21 08:40:40.087, 29418 MiB
2025/04/21 08:40:40.587, 29418 MiB
2025/04/21 08:40:41.087, 29418 MiB
2025/04/21 08:40:41.657, 29418 MiB
2025/04/21 08:40:42.157, 29418 MiB
2025/04/21 08:40:42.658, 29418 MiB
2025/04/21 08:40:43.158, 29418 MiB
2025/04/21 08:40:43.658, 29418 MiB
2025/04/21 08:40:44.158, 29418 MiB
2025/04/21 08:40:44.658, 29418 MiB
2025/04/21 08:40:45.158, 29418 MiB
2025/04/21 08:40:45.659, 29418 MiB
2025/04/21 08:40:46.159, 29418 MiB
2025/04/21 08:40:46.659, 29418 MiB
2025/04/21 08:40:47.159, 29418 MiB
2025/04/21 08:40:47.659, 29418 MiB
2025/04/21 08:40:48.159, 29418 MiB
2025/04/21 08:40:48.659, 29418 MiB
2025/04/21 08:40:49.160, 29418 MiB
2025/04/21 08:40:49.660, 29418 MiB
2025/04/21 08:40:50.160, 29418 MiB
2025/04/21 08:40:50.660, 29418 MiB
2025/04/21 08:40:51.160, 29418 MiB
2025/04/21 08:40:51.709, 29418 MiB
2025/04/21 08:40:52.209, 29418 MiB
2025/04/21 08:40:52.709, 29418 MiB
2025/04/21 08:40:53.209, 29418 MiB
2025/04/21 08:40:53.709, 29418 MiB
2025/04/21 08:40:54.209, 29418 MiB
2025/04/21 08:40:54.709, 29418 MiB
2025/04/21 08:40:55.210, 29418 MiB
2025/04/21 08:40:55.710, 29418 MiB
2025/04/21 08:40:56.210, 29418 MiB
2025/04/21 08:40:56.710, 29418 MiB
2025/04/21 08:40:57.271, 29418 MiB
2025/04/21 08:40:57.771, 29418 MiB
2025/04/21 08:40:58.271, 29418 MiB
2025/04/21 08:40:58.771, 29418 MiB
2025/04/21 08:40:59.271, 29418 MiB
2025/04/21 08:40:59.772, 29418 MiB
2025/04/21 08:41:00.272, 29418 MiB
2025/04/21 08:41:00.772, 29418 MiB
2025/04/21 08:41:01.272, 29418 MiB
2025/04/21 08:41:01.772, 29418 MiB
2025/04/21 08:41:02.272, 29418 MiB
2025/04/21 08:41:02.841, 29418 MiB
2025/04/21 08:41:03.341, 29418 MiB
2025/04/21 08:41:03.841, 29418 MiB
2025/04/21 08:41:04.341, 29418 MiB
2025/04/21 08:41:04.841, 14 MiB
2025/04/21 08:41:05.372, 40 MiB
2025/04/21 08:41:05.872, 14 MiB
2025/04/21 08:41:06.372, 17024 MiB
2025/04/21 08:41:06.873, 17028 MiB
2025/04/21 08:41:07.373, 17028 MiB
2025/04/21 08:41:07.873, 17028 MiB
2025/04/21 08:41:08.374, 17028 MiB
2025/04/21 08:41:08.874, 17032 MiB
2025/04/21 08:41:09.374, 17032 MiB
2025/04/21 08:41:09.874, 17032 MiB
2025/04/21 08:41:10.375, 17032 MiB
2025/04/21 08:41:10.875, 17032 MiB
2025/04/21 08:41:11.375, 17032 MiB
2025/04/21 08:41:11.875, 28513 MiB
2025/04/21 08:41:12.376, 28546 MiB
2025/04/21 08:41:12.876, 28638 MiB
2025/04/21 08:41:13.376, 28736 MiB
2025/04/21 08:41:13.877, 28834 MiB
2025/04/21 08:41:14.377, 28932 MiB
2025/04/21 08:41:14.877, 29030 MiB
2025/04/21 08:41:15.377, 29128 MiB
2025/04/21 08:41:15.942, 29226 MiB
2025/04/21 08:41:16.442, 29324 MiB
2025/04/21 08:41:16.942, 29374 MiB
2025/04/21 08:41:17.442, 29398 MiB
2025/04/21 08:41:17.942, 29398 MiB
2025/04/21 08:41:18.443, 29398 MiB
2025/04/21 08:41:18.943, 29398 MiB
2025/04/21 08:41:19.443, 29424 MiB
2025/04/21 08:41:19.943, 18 MiB
2025/04/21 08:41:20.443, 14 MiB
2025/04/21 08:41:20.943, 14 MiB
2025/04/21 08:41:21.443, 14 MiB
2025/04/21 08:41:21.944, 14 MiB
2025/04/21 08:41:22.444, 14 MiB
2025/04/21 08:41:22.944, 14 MiB
2025/04/21 08:41:23.444, 14 MiB
2025/04/21 08:41:23.944, 14 MiB
2025/04/21 08:41:24.445, 14 MiB
2025/04/21 08:41:24.945, 14 MiB
2025/04/21 08:41:25.445, 442 MiB
2025/04/21 08:41:25.945, 442 MiB
2025/04/21 08:41:26.445, 18952 MiB
2025/04/21 08:41:26.945, 18952 MiB
2025/04/21 08:41:27.445, 18952 MiB
2025/04/21 08:41:27.946, 18952 MiB
2025/04/21 08:41:28.446, 28900 MiB
2025/04/21 08:41:28.946, 28986 MiB
2025/04/21 08:41:29.446, 29026 MiB
2025/04/21 08:41:29.946, 29066 MiB
2025/04/21 08:41:30.446, 29106 MiB
2025/04/21 08:41:30.946, 29126 MiB
2025/04/21 08:41:31.446, 29146 MiB
2025/04/21 08:41:31.989, 29186 MiB
2025/04/21 08:41:32.489, 29206 MiB
2025/04/21 08:41:32.989, 29226 MiB
2025/04/21 08:41:33.489, 29246 MiB
2025/04/21 08:41:33.989, 29266 MiB
2025/04/21 08:41:34.489, 29286 MiB
2025/04/21 08:41:34.989, 29306 MiB
2025/04/21 08:41:35.490, 29326 MiB
2025/04/21 08:41:35.990, 29326 MiB
2025/04/21 08:41:36.490, 29346 MiB
2025/04/21 08:41:36.990, 29366 MiB
2025/04/21 08:41:37.490, 29386 MiB
2025/04/21 08:41:37.990, 29386 MiB
2025/04/21 08:41:38.490, 29406 MiB
2025/04/21 08:41:38.990, 29406 MiB
2025/04/21 08:41:39.491, 29406 MiB
2025/04/21 08:41:39.991, 29406 MiB
2025/04/21 08:41:40.491, 29406 MiB
2025/04/21 08:41:40.991, 29406 MiB
2025/04/21 08:41:41.491, 29406 MiB
2025/04/21 08:41:41.991, 29406 MiB
2025/04/21 08:41:42.492, 29406 MiB
2025/04/21 08:41:42.992, 29406 MiB
2025/04/21 08:41:43.492, 29406 MiB
2025/04/21 08:41:43.992, 29406 MiB
2025/04/21 08:41:44.492, 29406 MiB
2025/04/21 08:41:44.992, 29406 MiB
2025/04/21 08:41:45.493, 29406 MiB
2025/04/21 08:41:45.993, 29406 MiB
2025/04/21 08:41:46.493, 29406 MiB
2025/04/21 08:41:46.993, 29406 MiB
2025/04/21 08:41:47.493, 29406 MiB
2025/04/21 08:41:47.993, 29406 MiB
2025/04/21 08:41:48.493, 29406 MiB
2025/04/21 08:41:48.994, 29406 MiB
2025/04/21 08:41:49.494, 29406 MiB
2025/04/21 08:41:49.994, 29406 MiB
2025/04/21 08:41:50.494, 29406 MiB
2025/04/21 08:41:50.994, 29406 MiB
2025/04/21 08:41:51.494, 29406 MiB
2025/04/21 08:41:51.994, 29406 MiB
2025/04/21 08:41:52.495, 29406 MiB
2025/04/21 08:41:52.995, 29406 MiB
2025/04/21 08:41:53.495, 29406 MiB
2025/04/21 08:41:53.995, 29406 MiB
2025/04/21 08:41:54.495, 29406 MiB
2025/04/21 08:41:54.995, 29406 MiB
