timestamp, memory.used [MiB]
2025/04/21 11:59:43.311, 14 MiB
2025/04/21 11:59:43.811, 14 MiB
2025/04/21 11:59:44.311, 14 MiB
2025/04/21 11:59:44.811, 14 MiB
2025/04/21 11:59:45.311, 14 MiB
2025/04/21 11:59:45.811, 14 MiB
2025/04/21 11:59:46.312, 14 MiB
2025/04/21 11:59:46.812, 14 MiB
2025/04/21 11:59:47.312, 14 MiB
2025/04/21 11:59:47.812, 14 MiB
2025/04/21 11:59:48.312, 14 MiB
2025/04/21 11:59:48.812, 14 MiB
2025/04/21 11:59:49.312, 42 MiB
2025/04/21 11:59:49.813, 14 MiB
2025/04/21 11:59:50.313, 442 MiB
2025/04/21 11:59:50.813, 18952 MiB
2025/04/21 11:59:51.313, 18952 MiB
2025/04/21 11:59:51.813, 18952 MiB
2025/04/21 11:59:52.313, 18952 MiB
2025/04/21 11:59:52.813, 18952 MiB
2025/04/21 11:59:53.314, 18952 MiB
2025/04/21 11:59:53.814, 28900 MiB
2025/04/21 11:59:54.314, 28986 MiB
2025/04/21 11:59:54.814, 29026 MiB
2025/04/21 11:59:55.314, 29066 MiB
2025/04/21 11:59:55.896, 29106 MiB
2025/04/21 11:59:56.396, 29126 MiB
2025/04/21 11:59:56.896, 29146 MiB
2025/04/21 11:59:57.397, 29186 MiB
2025/04/21 11:59:57.897, 29206 MiB
2025/04/21 11:59:58.397, 29226 MiB
2025/04/21 11:59:58.897, 29246 MiB
2025/04/21 11:59:59.410, 29266 MiB
2025/04/21 11:59:59.910, 29286 MiB
2025/04/21 12:00:00.410, 29306 MiB
2025/04/21 12:00:00.910, 29326 MiB
2025/04/21 12:00:01.411, 29346 MiB
2025/04/21 12:00:01.911, 29346 MiB
2025/04/21 12:00:02.411, 29366 MiB
2025/04/21 12:00:02.911, 29388 MiB
2025/04/21 12:00:03.411, 29388 MiB
2025/04/21 12:00:03.911, 29388 MiB
2025/04/21 12:00:04.412, 29388 MiB
2025/04/21 12:00:05.002, 29388 MiB
2025/04/21 12:00:05.502, 29388 MiB
2025/04/21 12:00:06.002, 29388 MiB
2025/04/21 12:00:06.503, 29388 MiB
2025/04/21 12:00:07.003, 29388 MiB
2025/04/21 12:00:07.503, 29388 MiB
2025/04/21 12:00:08.003, 29388 MiB
2025/04/21 12:00:08.503, 29388 MiB
2025/04/21 12:00:09.003, 29388 MiB
2025/04/21 12:00:09.504, 29388 MiB
2025/04/21 12:00:10.004, 29388 MiB
2025/04/21 12:00:10.504, 29388 MiB
2025/04/21 12:00:11.004, 29388 MiB
2025/04/21 12:00:11.504, 29388 MiB
2025/04/21 12:00:12.004, 29388 MiB
2025/04/21 12:00:12.504, 29388 MiB
2025/04/21 12:00:13.005, 29388 MiB
2025/04/21 12:00:13.505, 29388 MiB
2025/04/21 12:00:14.005, 29388 MiB
2025/04/21 12:00:14.505, 29388 MiB
2025/04/21 12:00:15.005, 29388 MiB
