timestamp, memory.used [MiB]
2025/04/19 20:01:49.447, 41236 MiB
2025/04/19 20:01:49.947, 14 MiB
2025/04/19 20:01:50.448, 14 MiB
2025/04/19 20:01:50.948, 14 MiB
2025/04/19 20:01:51.448, 14 MiB
2025/04/19 20:01:51.948, 14 MiB
2025/04/19 20:01:52.448, 14 MiB
2025/04/19 20:01:52.992, 14 MiB
2025/04/19 20:01:53.492, 14 MiB
2025/04/19 20:01:53.992, 14 MiB
2025/04/19 20:01:54.493, 14 MiB
2025/04/19 20:01:54.993, 14 MiB
2025/04/19 20:01:55.493, 14 MiB
2025/04/19 20:01:55.993, 34 MiB
2025/04/19 20:01:56.493, 14 MiB
2025/04/19 20:01:56.993, 442 MiB
2025/04/19 20:01:57.509, 442 MiB
2025/04/19 20:01:58.010, 442 MiB
2025/04/19 20:01:58.510, 442 MiB
2025/04/19 20:01:59.010, 442 MiB
2025/04/19 20:01:59.510, 442 MiB
2025/04/19 20:02:00.011, 442 MiB
2025/04/19 20:02:00.511, 442 MiB
2025/04/19 20:02:01.011, 442 MiB
2025/04/19 20:02:01.511, 442 MiB
2025/04/19 20:02:02.016, 442 MiB
2025/04/19 20:02:02.516, 442 MiB
2025/04/19 20:02:03.016, 442 MiB
2025/04/19 20:02:03.517, 442 MiB
2025/04/19 20:02:04.017, 442 MiB
2025/04/19 20:02:04.517, 442 MiB
2025/04/19 20:02:05.017, 442 MiB
2025/04/19 20:02:05.517, 442 MiB
2025/04/19 20:02:06.017, 442 MiB
2025/04/19 20:02:06.517, 442 MiB
2025/04/19 20:02:07.017, 442 MiB
2025/04/19 20:02:07.517, 442 MiB
2025/04/19 20:02:08.018, 442 MiB
2025/04/19 20:02:08.518, 442 MiB
2025/04/19 20:02:09.018, 442 MiB
2025/04/19 20:02:09.518, 442 MiB
2025/04/19 20:02:10.018, 442 MiB
2025/04/19 20:02:10.518, 18952 MiB
2025/04/19 20:02:11.018, 18952 MiB
2025/04/19 20:02:11.518, 18952 MiB
2025/04/19 20:02:12.018, 18952 MiB
2025/04/19 20:02:12.519, 18952 MiB
2025/04/19 20:02:13.019, 28900 MiB
2025/04/19 20:02:13.519, 29006 MiB
2025/04/19 20:02:14.019, 29046 MiB
