timestamp, memory.used [MiB]
2025/04/19 20:29:56.577, 29392 MiB
2025/04/19 20:29:57.077, 14 MiB
2025/04/19 20:29:57.577, 14 MiB
2025/04/19 20:29:58.078, 14 MiB
2025/04/19 20:29:58.578, 14 MiB
2025/04/19 20:29:59.078, 14 MiB
2025/04/19 20:29:59.640, 14 MiB
2025/04/19 20:30:00.140, 14 MiB
2025/04/19 20:30:00.640, 14 MiB
2025/04/19 20:30:01.140, 14 MiB
2025/04/19 20:30:01.640, 14 MiB
2025/04/19 20:30:02.140, 14 MiB
2025/04/19 20:30:02.640, 362 MiB
2025/04/19 20:30:03.150, 442 MiB
2025/04/19 20:30:03.650, 442 MiB
2025/04/19 20:30:04.158, 442 MiB
2025/04/19 20:30:04.658, 442 MiB
2025/04/19 20:30:05.158, 442 MiB
2025/04/19 20:30:05.658, 442 MiB
2025/04/19 20:30:06.158, 442 MiB
2025/04/19 20:30:06.658, 442 MiB
2025/04/19 20:30:07.158, 442 MiB
2025/04/19 20:30:07.658, 442 MiB
2025/04/19 20:30:08.159, 442 MiB
2025/04/19 20:30:08.664, 442 MiB
2025/04/19 20:30:09.164, 442 MiB
2025/04/19 20:30:09.664, 442 MiB
2025/04/19 20:30:10.164, 442 MiB
2025/04/19 20:30:10.664, 442 MiB
2025/04/19 20:30:11.164, 442 MiB
2025/04/19 20:30:11.664, 442 MiB
2025/04/19 20:30:12.164, 442 MiB
2025/04/19 20:30:12.664, 442 MiB
2025/04/19 20:30:13.182, 442 MiB
2025/04/19 20:30:13.682, 442 MiB
2025/04/19 20:30:14.182, 442 MiB
2025/04/19 20:30:14.682, 442 MiB
2025/04/19 20:30:15.182, 442 MiB
2025/04/19 20:30:15.682, 442 MiB
2025/04/19 20:30:16.182, 442 MiB
2025/04/19 20:30:16.682, 442 MiB
2025/04/19 20:30:17.182, 18952 MiB
2025/04/19 20:30:17.696, 18952 MiB
2025/04/19 20:30:18.196, 18952 MiB
2025/04/19 20:30:18.696, 18952 MiB
2025/04/19 20:30:19.197, 18952 MiB
2025/04/19 20:30:19.697, 28900 MiB
2025/04/19 20:30:20.197, 28986 MiB
2025/04/19 20:30:20.697, 29026 MiB
