timestamp, memory.used [MiB]
2025/04/19 20:49:01.611, 34 MiB
2025/04/19 20:49:02.111, 14 MiB
2025/04/19 20:49:02.611, 14 MiB
2025/04/19 20:49:03.111, 14 MiB
2025/04/19 20:49:03.611, 14 MiB
2025/04/19 20:49:04.111, 14 MiB
2025/04/19 20:49:04.611, 14 MiB
2025/04/19 20:49:05.111, 14 MiB
2025/04/19 20:49:05.611, 14 MiB
2025/04/19 20:49:06.111, 14 MiB
2025/04/19 20:49:06.611, 14 MiB
2025/04/19 20:49:07.112, 14 MiB
2025/04/19 20:49:07.612, 14 MiB
2025/04/19 20:49:08.112, 32 MiB
2025/04/19 20:49:08.612, 442 MiB
2025/04/19 20:49:09.112, 442 MiB
2025/04/19 20:49:09.612, 442 MiB
2025/04/19 20:49:10.112, 442 MiB
2025/04/19 20:49:10.615, 442 MiB
2025/04/19 20:49:11.115, 442 MiB
2025/04/19 20:49:11.615, 442 MiB
2025/04/19 20:49:12.115, 442 MiB
2025/04/19 20:49:12.615, 442 MiB
2025/04/19 20:49:13.115, 442 MiB
2025/04/19 20:49:13.616, 442 MiB
2025/04/19 20:49:14.116, 442 MiB
2025/04/19 20:49:14.616, 442 MiB
2025/04/19 20:49:15.116, 442 MiB
2025/04/19 20:49:15.616, 442 MiB
2025/04/19 20:49:16.116, 442 MiB
2025/04/19 20:49:16.616, 442 MiB
2025/04/19 20:49:17.116, 442 MiB
2025/04/19 20:49:17.617, 442 MiB
2025/04/19 20:49:18.117, 442 MiB
2025/04/19 20:49:18.617, 442 MiB
2025/04/19 20:49:19.117, 442 MiB
2025/04/19 20:49:19.617, 442 MiB
2025/04/19 20:49:20.117, 442 MiB
2025/04/19 20:49:20.617, 442 MiB
2025/04/19 20:49:21.117, 442 MiB
2025/04/19 20:49:21.618, 442 MiB
2025/04/19 20:49:22.118, 442 MiB
2025/04/19 20:49:22.618, 18952 MiB
2025/04/19 20:49:23.118, 18952 MiB
2025/04/19 20:49:23.618, 18952 MiB
2025/04/19 20:49:24.118, 18952 MiB
2025/04/19 20:49:24.618, 18952 MiB
2025/04/19 20:49:25.119, 18952 MiB
2025/04/19 20:49:25.619, 28970 MiB
2025/04/19 20:49:26.119, 29006 MiB
2025/04/19 20:49:26.619, 29046 MiB
2025/04/19 20:49:27.119, 29086 MiB
2025/04/19 20:49:27.619, 29106 MiB
2025/04/19 20:49:28.119, 29126 MiB
2025/04/19 20:49:28.619, 29166 MiB
2025/04/19 20:49:29.120, 29186 MiB
2025/04/19 20:49:29.620, 29206 MiB
2025/04/19 20:49:30.120, 29226 MiB
2025/04/19 20:49:30.620, 29246 MiB
2025/04/19 20:49:31.120, 29266 MiB
2025/04/19 20:49:31.620, 29286 MiB
2025/04/19 20:49:32.120, 29306 MiB
2025/04/19 20:49:32.620, 29326 MiB
2025/04/19 20:49:33.120, 29346 MiB
2025/04/19 20:49:33.620, 29366 MiB
2025/04/19 20:49:34.121, 29366 MiB
2025/04/19 20:49:34.621, 29388 MiB
2025/04/19 20:49:35.121, 29388 MiB
2025/04/19 20:49:35.722, 29388 MiB
2025/04/19 20:49:36.222, 29388 MiB
2025/04/19 20:49:36.722, 29388 MiB
2025/04/19 20:49:37.222, 29388 MiB
2025/04/19 20:49:37.723, 29388 MiB
