timestamp, memory.used [MiB]
2025/04/17 15:30:22.004, 18 MiB
2025/04/17 15:30:22.004, 88 MiB
2025/04/17 15:30:22.504, 18 MiB
2025/04/17 15:30:22.504, 88 MiB
2025/04/17 15:30:23.004, 18 MiB
2025/04/17 15:30:23.005, 88 MiB
2025/04/17 15:30:23.505, 18 MiB
2025/04/17 15:30:23.505, 88 MiB
2025/04/17 15:30:24.005, 18 MiB
2025/04/17 15:30:24.005, 88 MiB
2025/04/17 15:30:24.505, 18 MiB
2025/04/17 15:30:24.505, 88 MiB
2025/04/17 15:30:25.005, 18 MiB
2025/04/17 15:30:25.006, 88 MiB
2025/04/17 15:30:25.506, 18 MiB
2025/04/17 15:30:25.506, 88 MiB
2025/04/17 15:30:26.006, 18 MiB
2025/04/17 15:30:26.006, 88 MiB
2025/04/17 15:30:26.506, 18 MiB
2025/04/17 15:30:26.507, 88 MiB
2025/04/17 15:30:27.007, 18 MiB
2025/04/17 15:30:27.007, 88 MiB
2025/04/17 15:30:27.507, 18 MiB
2025/04/17 15:30:27.507, 88 MiB
2025/04/17 15:30:28.007, 18 MiB
2025/04/17 15:30:28.008, 88 MiB
2025/04/17 15:30:28.508, 18 MiB
2025/04/17 15:30:28.508, 88 MiB
2025/04/17 15:30:29.008, 18 MiB
2025/04/17 15:30:29.008, 177 MiB
2025/04/17 15:30:29.508, 18 MiB
2025/04/17 15:30:29.508, 88 MiB
2025/04/17 15:30:30.009, 407 MiB
2025/04/17 15:30:30.009, 88 MiB
2025/04/17 15:30:30.509, 407 MiB
2025/04/17 15:30:30.509, 88 MiB
2025/04/17 15:30:31.009, 407 MiB
2025/04/17 15:30:31.009, 88 MiB
2025/04/17 15:30:31.510, 407 MiB
2025/04/17 15:30:31.510, 88 MiB
2025/04/17 15:30:32.010, 407 MiB
2025/04/17 15:30:32.010, 88 MiB
2025/04/17 15:30:32.510, 8243 MiB
2025/04/17 15:30:32.510, 88 MiB
2025/04/17 15:30:33.011, 8329 MiB
2025/04/17 15:30:33.011, 88 MiB
2025/04/17 15:30:33.511, 8329 MiB
2025/04/17 15:30:33.511, 88 MiB
2025/04/17 15:30:34.011, 8329 MiB
2025/04/17 15:30:34.011, 88 MiB
2025/04/17 15:30:34.511, 8329 MiB
2025/04/17 15:30:34.511, 88 MiB
2025/04/17 15:30:35.011, 8329 MiB
2025/04/17 15:30:35.011, 88 MiB
2025/04/17 15:30:35.511, 8329 MiB
2025/04/17 15:30:35.512, 88 MiB
2025/04/17 15:30:36.012, 8329 MiB
2025/04/17 15:30:36.012, 88 MiB
2025/04/17 15:30:36.512, 8329 MiB
2025/04/17 15:30:36.512, 88 MiB
2025/04/17 15:30:37.012, 8331 MiB
2025/04/17 15:30:37.012, 88 MiB
2025/04/17 15:30:37.512, 8331 MiB
2025/04/17 15:30:37.512, 88 MiB
2025/04/17 15:30:38.012, 8331 MiB
