timestamp, memory.used [MiB]
2025/04/17 19:15:42.987, 18 MiB
2025/04/17 19:15:42.987, 88 MiB
2025/04/17 19:15:43.488, 18 MiB
2025/04/17 19:15:43.488, 88 MiB
2025/04/17 19:15:43.988, 18 MiB
2025/04/17 19:15:43.988, 88 MiB
2025/04/17 19:15:44.488, 18 MiB
2025/04/17 19:15:44.488, 88 MiB
2025/04/17 19:15:44.989, 18 MiB
2025/04/17 19:15:44.989, 88 MiB
2025/04/17 19:15:45.489, 18 MiB
2025/04/17 19:15:45.489, 88 MiB
2025/04/17 19:15:45.989, 18 MiB
2025/04/17 19:15:45.990, 88 MiB
2025/04/17 19:15:46.490, 18 MiB
2025/04/17 19:15:46.490, 88 MiB
2025/04/17 19:15:46.990, 18 MiB
2025/04/17 19:15:46.991, 88 MiB
2025/04/17 19:15:47.491, 18 MiB
2025/04/17 19:15:47.491, 88 MiB
2025/04/17 19:15:47.991, 18 MiB
2025/04/17 19:15:47.992, 88 MiB
2025/04/17 19:15:48.492, 22 MiB
2025/04/17 19:15:48.492, 88 MiB
2025/04/17 19:15:48.992, 407 MiB
2025/04/17 19:15:48.992, 88 MiB
2025/04/17 19:15:49.492, 18917 MiB
2025/04/17 19:15:49.492, 88 MiB
2025/04/17 19:15:49.992, 18917 MiB
2025/04/17 19:15:49.992, 88 MiB
2025/04/17 19:15:50.492, 18917 MiB
2025/04/17 19:15:50.493, 88 MiB
2025/04/17 19:15:50.993, 18917 MiB
2025/04/17 19:15:50.993, 88 MiB
2025/04/17 19:15:51.493, 20335 MiB
2025/04/17 19:15:51.493, 88 MiB
2025/04/17 19:15:51.993, 20335 MiB
2025/04/17 19:15:51.993, 88 MiB
2025/04/17 19:15:52.493, 20335 MiB
2025/04/17 19:15:52.493, 88 MiB
2025/04/17 19:15:52.993, 20335 MiB
2025/04/17 19:15:52.993, 88 MiB
2025/04/17 19:15:53.493, 20335 MiB
2025/04/17 19:15:53.493, 88 MiB
2025/04/17 19:15:53.993, 20335 MiB
2025/04/17 19:15:53.993, 88 MiB
2025/04/17 19:15:54.494, 20335 MiB
2025/04/17 19:15:54.494, 88 MiB
2025/04/17 19:15:54.994, 20335 MiB
2025/04/17 19:15:54.994, 88 MiB
