timestamp, memory.used [MiB]
2025/04/17 23:09:05.580, 35 MiB
2025/04/17 23:09:05.580, 88 MiB
2025/04/17 23:09:06.080, 18 MiB
2025/04/17 23:09:06.081, 88 MiB
2025/04/17 23:09:06.581, 18 MiB
2025/04/17 23:09:06.581, 88 MiB
2025/04/17 23:09:07.081, 18 MiB
2025/04/17 23:09:07.081, 88 MiB
2025/04/17 23:09:07.581, 18 MiB
2025/04/17 23:09:07.581, 88 MiB
2025/04/17 23:09:08.081, 18 MiB
2025/04/17 23:09:08.081, 88 MiB
2025/04/17 23:09:08.582, 18 MiB
2025/04/17 23:09:08.582, 88 MiB
2025/04/17 23:09:09.082, 18 MiB
2025/04/17 23:09:09.082, 88 MiB
2025/04/17 23:09:09.582, 18 MiB
2025/04/17 23:09:09.582, 88 MiB
2025/04/17 23:09:10.083, 18 MiB
2025/04/17 23:09:10.083, 88 MiB
2025/04/17 23:09:10.584, 18 MiB
2025/04/17 23:09:10.584, 402 MiB
2025/04/17 23:09:11.084, 407 MiB
2025/04/17 23:09:11.084, 88 MiB
2025/04/17 23:09:11.584, 8557 MiB
2025/04/17 23:09:11.584, 88 MiB
2025/04/17 23:09:12.084, 12857 MiB
2025/04/17 23:09:12.085, 88 MiB
2025/04/17 23:09:12.585, 12857 MiB
2025/04/17 23:09:12.585, 88 MiB
2025/04/17 23:09:13.085, 12857 MiB
2025/04/17 23:09:13.085, 88 MiB
2025/04/17 23:09:13.585, 12857 MiB
2025/04/17 23:09:13.585, 88 MiB
2025/04/17 23:09:14.085, 12857 MiB
2025/04/17 23:09:14.085, 88 MiB
2025/04/17 23:09:14.585, 12857 MiB
2025/04/17 23:09:14.585, 88 MiB
2025/04/17 23:09:15.085, 12857 MiB
2025/04/17 23:09:15.085, 88 MiB
2025/04/17 23:09:15.586, 12857 MiB
2025/04/17 23:09:15.586, 88 MiB
2025/04/17 23:09:16.086, 12857 MiB
2025/04/17 23:09:16.086, 88 MiB
2025/04/17 23:09:16.586, 12857 MiB
2025/04/17 23:09:16.586, 88 MiB
2025/04/17 23:09:17.086, 12857 MiB
